iter	Passed	Remaining
947	5502	2745
948	5509	2740
949	5515	2734
950	5520	2728
951	5526	2722
952	5532	2716
953	5538	2711
954	5543	2705
955	5549	2699
956	5555	2693
957	5561	2688
958	5567	2682
959	5572	2676
960	5578	2670
961	5584	2664
962	5590	2658
963	5595	2652
964	5601	2646
965	5608	2641
966	5614	2635
967	5619	2629
968	5625	2623
969	5630	2618
970	5636	2611
971	5641	2605
972	5646	2599
973	5652	2594
974	5657	2588
975	5663	2582
976	5669	2576
977	5674	2570
978	5680	2564
979	5685	2558
980	5691	2552
981	5697	2546
982	5703	2541
983	5708	2535
984	5714	2529
985	5720	2523
986	5725	2517
987	5731	2511
988	5737	2506
989	5742	2500
990	5749	2494
991	5754	2488
992	5760	2483
993	5766	2477
994	5772	2471
995	5777	2465
996	5784	2459
997	5789	2453
998	5795	2447
999	5800	2442
1000	5806	2436
1001	5812	2430
1002	5818	2424
1003	5823	2418
1004	5829	2413
1005	5835	2407
1006	5841	2401
1007	5847	2395
1008	5852	2389
1009	5857	2383
1010	5864	2378
1011	5870	2372
1012	5877	2367
1013	5883	2361
1014	5889	2355
1015	5896	2350
1016	5902	2344
1017	5909	2339
1018	5916	2333
1019	5922	2328
1020	5928	2322
1021	5934	2316
1022	5940	2311
1023	5946	2305
1024	5953	2300
1025	5960	2294
1026	5966	2288
1027	5972	2283
1028	5978	2277
1029	5983	2271
1030	5990	2265
1031	5995	2259
1032	6001	2254
1033	6006	2248
1034	6012	2242
1035	6017	2236
1036	6023	2230
1037	6029	2224
1038	6035	2218
1039	6041	2213
1040	6046	2207
1041	6052	2201
1042	6057	2195
1043	6063	2189
1044	6069	2183
1045	6075	2178
1046	6081	2172
1047	6087	2166
1048	6092	2160
1049	6098	2154
1050	6104	2148
1051	6109	2142
1052	6115	2137
1053	6120	2131
1054	6126	2125
1055	6132	2119
1056	6137	2113
1057	6143	2107
1058	6149	2102
1059	6155	2096
1060	6160	2090
1061	6166	2084
1062	6171	2078
1063	6177	2072
1064	6182	2066
1065	6188	2060
1066	6194	2054
1067	6199	2049
1068	6205	2043
1069	6211	2037
1070	6217	2031
1071	6222	2025
1072	6228	2020
1073	6234	2014
1074	6240	2008
1075	6245	2002
1076	6251	1996
1077	6257	1990
1078	6263	1985
1079	6268	1979
1080	6274	1973
1081	6280	1967
1082	6285	1961
1083	6291	1955
1084	6297	1950
1085	6303	1944
1086	6308	1938
1087	6314	1932
1088	6320	1926
1089	6325	1920
1090	6331	1915
1091	6337	1909
1092	6343	1903
1093	6348	1897
1094	6354	1891
1095	6359	1885
1096	6364	1879
1097	6370	1874
1098	6376	1868
1099	6382	1862
1100	6387	1856
1101	6393	1850
1102	6398	1844
1103	6404	1838
1104	6410	1833
1105	6416	1827
1106	6422	1821
1107	6428	1815
1108	6433	1809
1109	6438	1804
1110	6444	1798
1111	6450	1792
1112	6456	1786
1113	6461	1780
1114	6468	1775
1115	6475	1769
1116	6481	1764
1117	6488	1758
1118	6494	1752
1119	6500	1746
1120	6506	1741
1121	6511	1735
1122	6517	1729
1123	6523	1723
1124	6529	1717
1125	6535	1712
1126	6541	1706
1127	6546	1700
1128	6552	1694
1129	6558	1689
1130	6564	1683
1131	6570	1677
1132	6576	1671
1133	6582	1665
1134	6588	1660
1135	6594	1654
1136	6600	1648
1137	6606	1642
1138	6607	1636
1139	6613	1630
1140	6619	1624
1141	6626	1618
1142	6631	1612
1143	6637	1607
1144	6642	1601
1145	6648	1595
1146	6654	1589
1147	6660	1583
1148	6666	1578
1149	6672	1572
1150	6678	1566
1151	6685	1561
1152	6691	1555
1153	6697	1549
1154	6702	1543
1155	6709	1537
1156	6714	1532
1157	6720	1526
1158	6726	1520
1159	6732	1514
1160	6737	1508
1161	6742	1502
1162	6748	1497
1163	6754	1491
1164	6759	1485
1165	6765	1479
1166	6771	1473
1167	6777	1468
1168	6784	1462
1169	6790	1456
1170	6797	1451
1171	6804	1445
1172	6809	1439
1173	6815	1433
1174	6820	1428
1175	6826	1422
1176	6832	1416
1177	6838	1410
1178	6844	1404
1179	6851	1399
1180	6856	1393
1181	6862	1387
1182	6868	1381
1183	6874	1375
1184	6879	1370
1185	6885	1364
1186	6886	1357
1187	6891	1351
1188	6897	1345
1189	6903	1340
1190	6909	1334
1191	6914	1328
1192	6920	1322
1193	6925	1316
1194	6931	1310
1195	6937	1305
1196	6943	1299
1197	6948	1293
1198	6954	1287
1199	6959	1281
1200	6965	1275
1201	6972	1270
1202	6978	1264
1203	6985	1258
1204	6990	1253
1205	6996	1247
1206	7003	1241
1207	7009	1235
1208	7016	1230
1209	7022	1224
1210	7028	1218
1211	7035	1213
1212	7041	1207
1213	7048	1201
1214	7054	1196
1215	7061	1190
1216	7068	1184
1217	7074	1179
1218	7081	1173
1219	7088	1167
1220	7093	1161
1221	7099	1156
1222	7105	1150
1223	7111	1144
1224	7117	1138
1225	7123	1133
1226	7129	1127
1227	7134	1121
1228	7140	1115
1229	7145	1109
1230	7151	1103
1231	7157	1098
1232	7163	1092
1233	7168	1086
1234	7174	1080
1235	7179	1074
1236	7186	1069
1237	7192	1063
1238	7198	1057
1239	7204	1051
1240	7209	1045
1241	7215	1039
1242	7220	1033
1243	7226	1028
1244	7232	1022
1245	7237	1016
1246	7243	1010
1247	7249	1004
1248	7254	999
1249	7260	993
1250	7265	987
1251	7271	981
1252	7277	975
1253	7283	969
1254	7288	964
1255	7294	958
1256	7299	952
1257	7305	946
1258	7311	940
1259	7317	934
1260	7322	929
1261	7328	923
1262	7334	917
1263	7339	911
1264	7345	905
1265	7351	900
1266	7356	894
1267	7362	888
1268	7368	882
1269	7374	876
1270	7380	871
1271	7386	865
1272	7392	859
1273	7397	853
1274	7403	847
1275	7406	841
1276	7412	835
1277	7418	830
1278	7423	824
1279	7429	818
1280	7434	812
1281	7440	806
1282	7446	800
1283	7452	795
1284	7457	789
1285	7463	783
1286	7469	777
1287	7474	771
